a	b	ida	idb	nSites	J9	J8	J7	J6	J5	J4	J3	J2	J1	rab	Fa	Fb	theta	inbred_relatedness_1_2	inbred_relatedness_2_1	fraternity	identity	zygosity	2of3_IDB	F_diff_a_b	loglh	nIter	bestoptimll	coverage	2dsfs	R0	R1	KING	2dsfs_loglike	2dsfsf_niter
0	14	88	218	12498	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000009	-18164.190868	106	-18164.192742	0.907493	4.154156e-01,1.913683e-01,1.823217e-02,1.723570e-01,1.227312e-01,1.849317e-02,2.940411e-02,2.746369e-02,4.534727e-03	0.388135	0.268371	0.041912	-20337.988586	10
0	15	88	228	13334	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000312	0.000001	0.000001	0.000156	0.000001	0.000001	0.000312	0.000001	0.000312	0.000312	0.000000	-19366.749536	102	-19366.755600	0.968196	4.317349e-01,1.706966e-01,2.215989e-02,1.753374e-01,1.201802e-01,1.869933e-02,3.224029e-02,2.095590e-02,7.995461e-03	0.452655	0.273081	0.018177	-21663.404256	10
0	16	88	229	13163	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000027	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000014	0.000014	-19179.593934	98	-19179.596810	0.955780	4.243729e-01,1.810752e-01,2.067162e-02,1.775365e-01,1.154873e-01,1.965310e-02,2.713232e-02,2.928163e-02,4.789477e-03	0.413932	0.253623	0.031134	-21389.860448	10
0	17	88	232	13283	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000018	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000009	0.000009	-19319.919390	62	-19319.922267	0.964493	4.228421e-01,1.806564e-01,2.100566e-02,1.800791e-01,1.148176e-01,1.938798e-02,2.830652e-02,2.738081e-02,5.523798e-03	0.429483	0.251343	0.025415	-21615.535325	10
0	18	88	234	13375	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000058	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000029	0.000029	-19172.834989	82	-19172.842669	0.971173	4.285957e-01,1.737543e-01,2.302799e-02,1.867354e-01,1.071181e-01,1.976824e-02,3.383773e-02,2.063389e-02,6.528711e-03	0.530870	0.234006	-0.010751	-21702.329346	10
0	19	88	237	13195	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000047	0.000044	0.000000	0.000028	0.000017	0.000000	0.000003	0.000000	0.000003	0.000061	0.000005	-19243.706099	114	-19243.712375	0.958103	4.287583e-01,1.734691e-01,2.166119e-02,1.709601e-01,1.214188e-01,2.224779e-02,2.598548e-02,2.859930e-02,6.900005e-03	0.392416	0.274131	0.040942	-21569.400282	10
0	20	88	345	13349	0.998906	0.000024	0.000582	0.000000	0.000000	0.000000	0.000487	0.000000	0.000000	0.000960	0.000488	0.000000	0.000541	0.000244	0.000000	0.000582	0.000000	0.000582	0.001082	0.000000	-19129.720728	98	-1	0.969286	4.352757e-01,1.728519e-01,1.673765e-02,1.711946e-01,1.241462e-01,1.882470e-02,2.542851e-02,2.899879e-02,6.541967e-03	0.339649	0.286027	0.062193	-21503.064068	10
0	21	88	347	13334	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000041	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000020	0.000020	-19107.918223	98	-19107.921428	0.968196	4.353779e-01,1.716864e-01,1.897998e-02,1.736493e-01,1.209240e-01,1.756707e-02,2.625600e-02,3.022085e-02,5.338591e-03	0.374086	0.275856	0.047958	-21485.744740	10
0	22	88	350	13350	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000029	0.000016	0.000000	0.000014	0.000000	0.000000	0.000028	0.000000	0.000028	0.000037	0.000008	-19000.670964	78	-19000.675325	0.969358	4.382242e-01,1.701245e-01,1.745838e-02,1.708364e-01,1.248692e-01,1.743730e-02,2.862378e-02,2.736768e-02,5.058536e-03	0.369043	0.289151	0.051463	-21423.782773	10
0	23	88	351	13061	0.976818	0.000228	0.019754	0.000000	0.000000	0.000000	0.003199	0.000000	0.000000	0.022268	0.003199	0.000000	0.011534	0.001600	0.000000	0.019754	0.000000	0.019754	0.023068	0.000000	-18955.010740	130	-1	0.948374	4.254397e-01,1.835905e-01,1.537419e-02,1.627454e-01,1.357674e-01,1.538909e-02,2.276286e-02,3.199852e-02,6.932410e-03	0.280900	0.314378	0.089429	-21070.933110	10
